national_provider_identifier,gender,birth_year,medical_group,hospital,location,school,graduation_year,pharmacy_preference,popularity,channel,content,week_of,day,time_sent,response
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,0,6/10/18,4,Afternoon,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,2,0,6/10/18,5,Morning,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,2,6/17/18,2,Afternoon,1
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,2,2,6/17/18,2,Evening,1
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,2,6/17/18,6,Morning,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,2,6/24/18,2,Morning,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,2,6/24/18,4,Evening,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,2,2,6/24/18,5,Morning,1
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,0,4/1/18,1,Morning,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,2,0,4/1/18,2,Evening,1
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,0,4/1/18,5,Afternoon,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,2,0,4/8/18,2,Evening,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,0,4/8/18,4,Morning,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,0,4/8/18,5,Aftenoon,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,1,0,4/8/18,5,Aftenoon,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,2,1,4/15/18,1,Evening,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,1,4/15/18,4,Evening,1
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,1,4/15/18,5,Morning,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,1,4/22/18,0,Morning,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,1,4/22/18,4,Evening,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,2,1,4/22/18,5,Morning,1
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,1,4/29/18,1,Morning,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,1,4/29/18,4,Evening,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,2,1,4/29/18,3,Morning,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,0,5/6/18,1,Afternoon,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,0,5/6/18,3,Afternoon,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,2,0,5/6/18,4,Evening,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,1,0,5/13/18,2,Afternoon,1
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,2,2,5/13/18,5,Morning,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,2,5/13/18,3,Evening,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,2,5/13/18,4,Morning,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,2,5/20/18,1,Afternoon,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,2,3,5/20/18,3,Evening,1
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,1,5/20/18,4,Morning,1
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,1,5/27/18,2,Morning,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,1,5/27/18,2,Afternoon,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,2,1,5/27/18,3,Morning,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,1,1,6/3/18,1,Evening,1
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,1,6/3/18,2,Morning,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,2,1,6/3/18,5,Afternoon,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,1,6/3/18,5,Evening,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,1,6/10/18,2,Morning,1
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,2,6/10/18,4,Evening,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,2,2,6/10/18,3,Morning,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,2,6/17/18,2,Afternoon,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,2,2,6/17/18,2,Evening,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,2,6/17/18,6,Morning,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,2,6/24/18,3,Afternoon,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,0,2,6/24/18,4,Evening,0
10000001,0,1980,Cancer Care,Rutgers,15546,Rutgers,2010,0,1,2,2,6/24/18,2,Morning,1
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,0,4/1/18,1,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,2,0,4/1/18,3,Evening,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,0,4/1/18,5,Afternoon,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,1,0,4/1/18,5,Evening,1
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,2,0,4/8/18,3,Evening,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,0,4/8/18,4,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,0,4/8/18,2,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,2,0,4/15/18,1,Evening,1
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,0,4/15/18,4,Evening,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,0,4/15/18,5,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,0,4/22/18,1,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,0,4/22/18,5,Evening,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,2,2,4/22/18,5,Morning,1
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,2,4/29/18,1,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,2,4/29/18,4,Evening,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,2,2,4/29/18,4,Morning,1
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,2,5/6/18,1,Evening,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,2,5/6/18,3,Afternoon,1
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,2,2,5/6/18,5,Evening,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,2,2,5/13/18,5,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,2,5/13/18,3,Evening,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,2,5/13/18,4,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,3,5/20/18,1,Afternoon,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,1,3,5/20/18,2,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,2,3,5/20/18,3,Evening,1
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,3,5/20/18,5,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,3,5/27/18,2,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,2,5/27/18,2,Afternoon,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,2,2,5/27/18,3,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,1,2,6/3/18,1,Evening,1
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,2,6/3/18,2,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,2,2,6/3/18,5,Afternoon,1
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,2,6/3/18,5,Evening,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,2,6/10/18,2,Morning,1
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,2,6/10/18,5,Afternoon,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,2,2,6/10/18,3,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,2,6/17/18,4,Afternoon,1
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,2,0,6/17/18,2,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,0,6/17/18,6,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,0,6/24/18,3,Afternoon,1
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,0,0,6/24/18,4,Morning,0
10000002,1,1975,Surgery Place,Rutgers,15546,Rutgers,2008,1,2,2,0,6/24/18,3,Morning,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,2,4/1/18,2,Morning,1
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,2,2,4/1/18,3,Evening,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,2,4/1/18,5,Evening,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,1,2,4/1/18,5,Evening,1
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,2,2,4/8/18,3,Evening,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,2,4/8/18,4,Morning,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,2,4/8/18,2,Morning,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,2,2,4/15/18,3,Evening,1
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,2,4/15/18,4,Evening,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,2,4/15/18,6,Morning,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,2,4/22/18,1,Morning,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,2,4/22/18,3,Evening,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,2,0,4/22/18,5,Morning,1
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,0,4/29/18,1,Morning,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,0,4/29/18,4,Evening,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,2,0,4/29/18,4,Afternoon,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,0,5/6/18,1,Evening,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,0,5/6/18,3,Afternoon,1
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,2,0,5/6/18,4,Evening,1
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,2,0,5/13/18,3,Morning,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,0,5/13/18,3,Evening,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,0,5/13/18,5,Afternoon,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,0,5/20/18,1,Afternoon,1
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,2,0,5/20/18,3,Evening,1
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,3,5/20/18,5,Morning,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,3,5/27/18,2,Morning,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,3,5/27/18,2,Afternoon,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,1,3,5/27/18,3,Morning,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,2,3,5/27/18,4,Morning,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,1,3,6/3/18,1,Evening,1
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,1,6/3/18,2,Morning,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,2,1,6/3/18,3,Afternoon,1
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,1,6/3/18,5,Evening,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,1,6/10/18,2,Morning,1
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,1,6/10/18,5,Afternoon,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,2,0,6/10/18,4,Morning,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,0,6/17/18,4,Evening,1
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,2,0,6/17/18,2,Morning,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,0,6/17/18,6,Morning,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,0,6/24/18,3,Afternoon,1
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,0,0,6/24/18,4,Morning,0
10000003,1,1991,Stomach Protect,Indiana ,45677,NYU,2015,0,0,2,0,6/24/18,2,Morning,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,1,4/1/18,1,Morning,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,2,1,4/1/18,3,Afternoon,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,1,4/1/18,5,Afternoon,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,2,1,4/8/18,3,Evening,1
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,1,4/8/18,4,Morning,1
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,1,4/8/18,3,Aftenoon,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,1,1,4/8/18,5,Aftenoon,1
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,1,4/15/18,1,Evening,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,2,1,4/15/18,3,Morning,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,1,4/15/18,5,Morning,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,1,4/22/18,0,Morning,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,1,4/22/18,3,Evening,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,2,3,4/22/18,4,Morning,1
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,3,4/29/18,2,Morning,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,3,4/29/18,4,Evening,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,2,3,4/29/18,3,Afternoon,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,3,5/6/18,2,Afternoon,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,3,5/6/18,3,Evening,1
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,2,1,5/6/18,4,Evening,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,1,1,5/6/18,4,Evening,1
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,2,1,5/13/18,2,Morning,1
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,1,5/13/18,3,Evening,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,1,5/13/18,4,Morning,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,1,5/20/18,0,Afternoon,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,2,2,5/20/18,4,Aternoon,1
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,2,5/20/18,5,Morning,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,2,5/27/18,1,Morning,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,2,5/27/18,2,Afternoon,1
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,2,2,5/27/18,3,Morning,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,2,6/3/18,2,Morning,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,2,2,6/3/18,5,Afternoon,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,2,6/3/18,5,Evening,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,2,6/10/18,1,Morning,1
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,2,6/10/18,4,Afternoon,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,1,2,6/10/18,2,Morning,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,2,2,6/10/18,5,Morning,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,3,6/17/18,2,Afternoon,1
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,2,3,6/17/18,2,Evening,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,3,6/17/18,5,Morning,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,3,6/24/18,2,Morning,1
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,0,3,6/24/18,5,Evening,0
10000004,0,1975,,Memorial Health Care,32456,UCLA,2004,2,2,2,3,6/24/18,5,Morning,1
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,2,2,4/1/18,1,Morning,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,2,4/1/18,2,Afternoon,1
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,2,4/1/18,4,Afternoon,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,2,2,4/8/18,3,Morning,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,2,4/8/18,4,Morning,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,2,4/8/18,3,Aftenoon,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,2,4/15/18,1,Evening,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,2,2,4/15/18,2,Evening,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,2,4/15/18,5,Morning,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,0,4/22/18,1,Morning,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,0,4/22/18,3,Evening,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,2,0,4/22/18,4,Morning,1
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,0,4/29/18,2,Afternoon,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,1,0,4/29/18,5,Aftenoon,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,0,4/29/18,4,Evening,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,2,0,4/29/18,3,Afternoon,1
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,0,5/6/18,1,Afternoon,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,0,5/6/18,3,Evening,1
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,2,0,5/6/18,5,Evening,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,1,0,5/6/18,3,Evening,1
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,2,1,5/13/18,2,Afternoon,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,1,5/13/18,3,Evening,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,1,5/13/18,4,Morning,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,1,5/20/18,0,Afternoon,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,2,1,5/20/18,4,Aternoon,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,1,5/20/18,5,Morning,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,1,5/27/18,1,Morning,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,3,5/27/18,1,Afternoon,1
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,2,3,5/27/18,4,Morning,1
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,3,6/3/18,2,Morning,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,2,3,6/3/18,4,Morning,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,3,6/3/18,5,Evening,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,1,6/10/18,2,Morning,1
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,1,6/10/18,4,Afternoon,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,2,1,6/10/18,5,Morning,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,1,6/17/18,2,Afternoon,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,2,1,6/17/18,2,Evening,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,1,6/17/18,5,Evening,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,0,6/24/18,3,Morning,0
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,1,0,6/24/18,2,Evening,1
10000005,1,1980,Women Care,Memorial Health Care,69686,Purdue,2005,0,1,0,0,6/24/18,5,Morning,0
